Date,EMIRATESNBD,DIB,EMAAR,CBD,MASQ,DEWA
2021-07-01,140.51,218.32,250.22,80.0,142.39,184.31
2021-07-02,141.48,219.3,253.85,80.76,141.53,191.93
2021-07-05,142.34,216.55,252.56,79.98,142.39,192.62
2021-07-06,145.29,214.56,255.89,80.07,145.36,194.25
2021-07-07,143.67,213.29,248.13,76.13,142.34,194.12
2021-07-08,142.23,215.21,247.6,75.17,145.24,191.37
2021-07-09,140.68,217.57,248.11,75.89,143.2,190.75
2021-07-12,138.15,215.18,248.35,74.43,149.42,184.74
2021-07-13,131.0,215.18,240.27,74.56,154.34,193.25
2021-07-14,133.56,224.51,246.17,75.26,154.07,188.57
2021-07-15,135.8,232.38,242.08,74.78,151.18,184.78
2021-07-16,131.73,234.52,243.83,75.08,147.76,183.24
2021-07-19,130.67,234.82,243.99,73.67,150.42,188.05
2021-07-20,128.8,235.5,249.01,73.4,150.4,188.2
2021-07-21,127.05,238.51,260.03,74.33,153.26,183.64
2021-07-22,121.68,233.75,253.44,74.6,160.1,188.34
2021-07-23,120.21,232.66,250.28,73.76,157.71,191.19
2021-07-26,121.7,225.01,251.35,74.13,153.91,193.35
2021-07-27,127.99,226.92,245.92,75.23,154.58,196.21
2021-07-28,129.07,229.97,249.89,72.18,158.19,205.7
2021-07-29,129.45,227.87,254.23,73.89,155.3,214.8
2021-07-30,128.18,235.15,257.2,73.43,155.48,211.95
2021-08-02,126.7,229.51,258.55,74.09,159.82,218.94
2021-08-03,129.17,222.9,265.76,75.9,154.68,220.73
2021-08-04,129.98,224.01,259.75,73.86,155.49,223.04
2021-08-05,128.4,228.81,260.22,72.85,153.88,215.61
2021-08-06,125.84,236.63,256.51,72.47,154.34,214.98
2021-08-09,125.49,234.58,261.2,71.37,156.61,211.59
2021-08-10,124.22,239.76,251.75,73.88,157.38,215.2
2021-08-11,124.26,239.69,251.74,72.65,154.28,219.92
2021-08-12,123.76,238.99,253.55,71.88,152.81,210.91
2021-08-13,124.78,243.33,248.87,72.21,157.25,210.92
